Entry Dates,Exit Date,Entry Prices,Exit Price,Trade Type,Quantities,Total Quantity,ATR Values,PnL,Txn Fee,Volume,Daily unrealized
"['2020-04-02 00:00:00', '2020-04-02 12:00:00', '2020-04-02 16:00:00']",2020-04-02 20:00:00,"[227.04, 233.40495783147566, 239.96566777137755]",232.62499332847077,1,"[8.3675, 8.7283, 8.4679]",25.5637,"[6.639411379473017, 6.364957831475676, 6.560709939901892]",-22.235429610688698,5.957873256756373,11915.746513512746,"[-0.502050000000019, 11.714500000000047, 68.94820000000007, 373.8912345595313, 62.508406438283146]"
['2020-04-05 16:00:00'],2020-04-05 20:00:00,[224.74],232.42,2,[9.1464],9.1464,[6.074061455274918],-70.24435199999981,2.090684112,4181.368224,[-36.49413599999982]
"['2020-04-06 08:00:00', '2020-04-06 16:00:00', '2020-04-06 16:00:00']",2020-04-07 20:00:00,"[242.62, 248.88723310721173, 255.15446621442345]",248.0514397435393,1,"[8.7513, 8.8644, 8.8644]",26.4801,"[6.34826383070552, 6.267233107211732, 6.267233107211732]",-22.840715913808335,6.579847287509799,13159.6945750196,"[42.35629200000003, 132.5821949999998, 311.5648225332967, 375.6466645332971, 262.84143853329584, 362.4066145332971, 449.2613425332964, 328.5120865332963, 197.96519353329614]"
"['2020-04-08 00:00:00', '2020-04-08 00:00:00']",2020-04-08 08:00:00,"[265.88, 273.11437514733996]",264.87252657686565,1,"[7.6794, 7.6794]",15.3588,"[7.234375147339949, 7.234375147339949]",-71.02924331771824,4.103638782847623,8207.277565695247,"[163.61441549351724, 160.08189149351782]"
"['2020-04-10 00:00:00', '2020-04-10 04:00:00', '2020-04-10 12:00:00']",2020-04-11 04:00:00,"[245.7, 236.54891532287078, 227.36738640176168]",236.2474160925608,2,"[6.2946, 6.0709, 6.0508]",18.4163,"[8.82587860750444, 9.151084677129218, 9.18152892110912]",7.599322687968417,4.3546029503294115,8709.205900658824,"[76.79411999999992, 92.583370033616, 185.57193003361613, 209.2102216733956, 105.15812667339604, 88.03096767339592, 36.649490673396066]"
['2020-04-11 20:00:00'],2020-04-12 00:00:00,[225.3],233.8482773960494,2,[6.6372],6.6372,[8.37029199584146],-56.736626733059076,1.5237294733665296,3047.4589467330593,[-15.000071999999939]
"['2020-04-13 04:00:00', '2020-04-15 20:00:00', '2020-04-16 00:00:00']",2020-04-16 04:00:00,"[221.5, 215.11982266890823, 208.60315420437104]",215.22648924568136,2,"[6.7314, 8.7075, 8.5251]",23.964,"[8.253233662110203, 6.380177331091771, 6.516668464537181]",-15.16388248630633,5.150105647040355,10300.21129408071,"[30.2913, 46.042776000000025, 25.713947999999952, 6.394829999999923, -9.491273999999978, -1.1443379999999157, 10.568297999999954, -1.68285, -5.587062000000084, 2.0194200000000766, 9.693215999999984, -6.125573999999977, 4.846607999999992, 16.96312800000007, 19.31911800000003, 51.15863999999996, 177.41760688951803, 74.13770579720187]"
"['2020-04-16 08:00:00', '2020-04-18 12:00:00', '2020-04-18 20:00:00']",2020-04-19 00:00:00,"[233.51, 239.91340959662216, 246.2467867575737]",239.87257845466974,1,"[7.515, 8.6759, 8.7719]",24.9628,"[7.3926682892448055, 6.403409596622181, 6.333377160951518]",-8.453387629864958,5.9921178952631635,11984.235790526325,"[-0.37574999999987185, 0.45090000000001706, 48.77235000000007, 22.24440000000006, 3.2314500000000512, 17.209350000000153, 1.503000000000128, 2.4048000000001624, 27.35460000000011, 19.83960000000011, 14.954850000000068, 14.80454999999999, 57.79034999999998, 80.93394568066586, 179.0507996806659, 124.78359892190558]"
"['2020-04-20 08:00:00', '2020-04-20 16:00:00', '2020-04-21 08:00:00']",2020-04-21 12:00:00,"[229.0, 222.32931667659898, 215.55534085541808]",222.23961788553993,2,"[8.8192, 8.3283, 8.2013]",25.3488,"[6.299399804322451, 6.67068332340101, 6.773975821180895]",5.54843917828501,5.636281845446117,11272.563690892235,"[57.3248, 115.00236799999993, 173.19219807771935, 130.32344807771935, 124.49329807771929, 184.33807307771946, 131.01531303525977]"
"['2020-04-23 12:00:00', '2020-04-23 12:00:00']",2020-04-23 16:00:00,"[238.78, 244.7462062388158]",238.2293103119408,1,"[9.3117, 9.3117]",18.6234,"[5.966206238815812, 5.966206238815812]",-65.81123697058241,4.469545356148689,8939.09071229738,[39.423817366019335]
